x,year,date,ARI,ARI_per,COL,COL_per,LAD,LAD_per,SDP,SDP_per,SFG,SFG_per
417,2011,2011/4/26,19037,38.790855,35012,71.06005561,36870,65.83928571,20492,46.11576199,41039,95.61297237
420,2011,2011/4/27,21825,44.4718396,31885,64.71352317,34453,61.52321429,20026,45.06706274,41026,95.58268487
421,2011,2011/4/28,21716,44.2497351,31007,62.93154188,39869,71.19464286,20546,46.23728508,41126,95.81566563
422,2011,2011/4/29,29431,59.97025022,21422,43.4779079,30239,53.99821429,18636,41.9389684,42224,98.37379432
425,2011,2011/4/30,27652,56.34526041,40278,81.74788415,38017,67.8875,16613,37.38635341,42152,98.20604818
428,2011,2011/5/1,26605,54.21183471,34252,69.51756611,28419,50.74821429,30878,69.48870285,42288,98.52290201
434,2011,2011/5/3,18887,38.48520662,38109,77.34570031,35506,63.40357143,35936,80.87136556,41165,95.90652812
437,2011,2011/5/4,18803,38.31404352,33228,67.43926448,40654,72.59642857,21490,48.36168872,41037,95.60831275
439,2011,2011/5/5,18695,38.09397669,41105,83.42635627,35346,63.11785714,16901,38.03447655,41472,96.62177904
456,2011,2011/5/16,17958,36.59222431,25096,50.93462686,42138,75.24642857,16286,36.65046359,41021,95.57103583
459,2011,2011/5/17,16365,33.34623849,26378,53.53656309,30421,54.32321429,26501,59.63858133,41046,95.62928102
463,2011,2011/5/18,19773,40.29056973,26972,54.74214041,34248,61.15714286,34648,77.97281483,41369,96.38180886
466,2011,2011/5/19,23413,47.70763713,30186,61.26524731,34407,61.44107143,34705,78.10108921,41180,95.94147523
469,2011,2011/5/20,27450,55.93365392,31285,63.4957683,30621,54.68035714,16513,37.16131065,41786,97.35333861
473,2011,2011/5/22,31017,63.20197245,40598,82.39735341,36962,66.00357143,19426,43.71680619,41738,97.24150785
490,2011,2011/5/30,23465,47.81359524,26066,52.90333056,31473,56.20178571,23088,51.957872,41106,95.76906947
492,2011,2011/5/31,17571,35.80365148,32116,65.18235879,36975,66.02678571,16635,37.43586281,41686,97.12035786
494,2011,2011/6/1,16169,32.94685793,34290,69.59469059,31372,56.02142857,20056,45.13457557,41735,97.23451843
497,2011,2011/6/2,17810,36.29065123,32650,66.26616062,39233,70.05892857,28208,63.48006121,42084,98.04762127
499,2011,2011/6/3,20332,41.42961937,35045,71.12703213,30443,54.3625,21958,49.41488883,41958,97.75406551
501,2011,2011/6/4,26199,53.38454642,35877,72.81565221,35053,62.59464286,16838,37.89269961,41886,97.58631937
505,2011,2011/6/5,23129,47.12894286,41594,84.41882649,36124,64.50714286,17732,39.90458187,42481,98.97255487
525,2011,2011/6/14,23746,48.38617654,48555,98.54681253,44665,79.75892857,16464,37.0510397,41690,97.12967709
528,2011,2011/6/15,24194,49.29904638,49015,99.48042459,29355,52.41964286,23211,52.23467459,42130,98.15479241
531,2011,2011/6/16,23468,47.81970821,40175,81.53883623,37769,67.44464286,25027,56.32145108,41978,97.80066167
532,2011,2011/6/17,26053,53.08704866,35973,73.01049299,30332,54.16428571,20185,45.42488073,42300,98.5508597
535,2011,2011/6/18,33230,67.71130491,38084,77.29496052,43640,77.92857143,27227,61.27239175,41403,96.46102232
