x,year,date,HOU,HOU.per,LAA,LAA.per,OAK,OAK.per,SEA,SEA.per,TEX,TEX.per
76,2011,2011/4/11,20175,47.2781384,31049,69.6775207,21030,58.30814872,16940,36.80448432,45769,92.32460564
77,2011,2011/4/13,20987,49.18098095,37003,83.03898027,11129,30.85646159,19656,42.70536859,45506,91.79408561
78,2011,2011/4/14,20045,46.97349612,39005,87.53169812,21853,60.59001303,17717,38.49262389,28284,57.05410094
79,2011,2011/4/15,23755,55.6675181,40025,89.82069523,16265,45.09662572,23263,50.54207313,22915,46.22382701
80,2011,2011/4/16,28100,65.84960045,35107,78.7841386,16460,45.63728616,45727,99.34820866,21755,43.88389075
81,2011,2011/4/17,22899,53.66156586,37115,83.29032113,25230,69.95314276,30309,65.85047907,29322,59.14794045
82,2011,2011/4/26,25526,59.81768331,37228,83.54390611,29045,80.53067901,21128,45.90349143,24121,48.65655384
83,2011,2011/4/27,27857,65.28015373,37247,83.58654429,17226,47.76111127,13056,28.36595911,49069,98.98132085
84,2011,2011/4/28,26331,61.70412204,36447,81.79125244,27285,75.65087199,15500,33.67588589,49574,100
85,2011,2011/4/29,25734,60.30511096,37684,84.56722246,15178,42.08279036,12407,26.95591718,48057,96.93992819
86,2011,2011/4/30,26514,62.13296464,40124,90.04286259,9193,25.48867386,12774,27.75327525,24375,49.16891919
87,2011,2011/5/1,23908,56.02605863,38561,86.53531115,10135,28.10047966,12411,26.96460773,31655,63.85403639
88,2011,2011/5/9,20174,47.275795,40128,90.05183905,13872,38.46175174,13339,28.98081561,45995,92.78048977
89,2011,2011/5/10,24499,57.4110093,40211,90.23810058,14353,39.79538082,12770,27.7445847,47663,96.14515674
90,2011,2011/5/11,21008,49.23019239,43511,97.64367945,12690,35.1845177,25355,55.08723141,48284,97.39782951
91,2011,2011/5/13,28791,67.46889134,40098,89.98451561,17291,47.94133141,16530,35.91370283,30861,62.25239037
92,2011,2011/5/14,31140,72.97354299,40253,90.3323534,19018,52.72964206,12759,27.72068568,35524,71.65853068
93,2011,2011/5/15,28406,66.56668151,33412,74.980364,11061,30.66792359,13896,30.19097486,32382,65.32053092
94,2011,2011/5/23,22579,52.91167717,42521,95.42200579,12190,33.79820889,14205,30.86231994,39390,79.45697341
95,2011,2011/5/24,28713,67.28610597,43619,97.88604385,15355,42.57354368,31912,69.33321746,40240,81.17158188
96,2011,2011/5/25,21350,50.03163593,43524,97.67285294,22320,61.88482546,26288,57.11430247,45011,90.79557833
97,2011,2011/5/27,21834,51.16584257,32287,72.45573484,12110,33.57639948,26074,56.64935799,33921,68.42498084
98,2011,2011/5/29,21882,51.27832587,38833,87.14571037,23795,65.97443647,14859,32.28322506,35165,70.93436075
99,2011,2011/6/7,23277,54.54737187,33157,74.40811472,15373,42.6234508,16015,34.79479436,40388,81.47012547
100,2011,2011/6/8,22107,51.80559136,38254,85.8463679,35067,97.22738237,16992,36.91746149,41205,83.11816678
101,2011,2011/6/9,24482,57.37117147,38911,87.32075133,22581,62.60847866,18374,39.92004693,33533,67.6423125
102,2011,2011/6/10,29252,68.54919973,39114,87.77630664,25469,70.61579838,33715,73.25048341,39708,80.0984387
103,2011,2011/6/11,32117,75.26304689,35032,78.61582999,11439,31.71597305,37354,81.15671236,46092,92.97615686
104,2011,2011/6/12,23765,55.69095212,41029,92.07378649,16392,45.44874816,37290,81.01766355,37292,75.22491629
105,2011,2011/6/13,21466,50.30347058,35257,79.12075582,11775,32.64757257,22819,49.57742195,37879,76.40900472
106,2011,2011/6/14,29712,69.62716472,41253,92.57646821,36067,100,11692,25.40248115,32474,65.50611207
107,2011,2011/6/15,29866,69.98804865,42232,94.77345661,36067,100,16376,35.57911661,29728,59.96691814
108,2011,2011/6/16,26415,61.90096783,42536,95.45566751,36067,100,24492,53.21224499,46092,92.97615686
109,2011,2011/6/24,26682,62.5266562,39006,87.53394224,12124,33.61521613,28843,62.66539205,42885,86.50703998
110,2011,2011/6/25,27208,63.75928573,31549,70.79957811,17006,47.15113539,28947,62.89134638,31953,64.45515795
111,2011,2011/6/26,23965,56.15963255,41223,92.50914477,18395,51.00230127,20238,43.96984379,35041,70.68422964
112,2011,2011/6/28,29132,68.26799147,40161,90.12589484,30338,84.11567361,17634,38.31229496,37858,76.36664381
113,2011,2011/6/29,24472,57.34773745,44111,98.99014834,13822,38.32312086,19321,41.97753493,34066,68.71747287
114,2011,2011/6/30,25938,60.783165,39505,88.65375553,15566,43.158566,34345,74.61924523,33834,68.24948562
115,2011,2011/7/1,36279,85.01628664,43103,96.72808061,11153,30.92300441,35829,77.84343972,37360,75.36208496
116,2011,2011/7/2,39021,91.44189534,40052,89.88128633,19491,54.04109019,45462,98.77245964,38537,77.73631339
117,2011,2011/7/3,38035,89.13130082,38315,85.9832589,18470,51.21024759,15279,33.19573294,43117,86.97502723
118,2011,2011/7/15,27787,65.11611558,37565,84.3001728,27379,75.91149805,16896,36.70888826,35573,71.75737282
119,2011,2011/7/16,35081,82.20889087,35555,79.78950203,28897,80.12033161,10925,23.73606796,30581,61.68757817
120,2011,2011/7/17,24580,57.60082488,40365,90.58369426,26115,72.40690936,26467,57.50320464,35950,72.5178521
121,2011,2011/7/18,28975,67.90007733,38727,86.9078342,11053,30.64574265,21769,47.29615226,30406,61.33457054
122,2011,2011/7/19,32418,75.96841094,42017,94.29097193,12166,33.73166607,30472,66.20461903,37842,76.33436882
123,2011,2011/7/20,29605,69.37642069,38823,87.12326923,18640,51.68159259,23616,51.30901427,38210,77.07669343
124,2011,2011/8/1,21502,50.38783306,36663,82.27598124,16466,45.65392187,22798,49.53179655,37431,75.5053052
125,2011,2011/8/2,22603,52.96791882,43711,98.09250241,25656,71.13427787,25997,56.48206487,27771,56.0192843
126,2011,2011/8/3,22102,51.79387435,36581,82.09196382,19605,54.3571686,30551,66.37625741,25214,50.8613386
127,2011,2011/8/5,25811,60.48555293,41123,92.28473329,22452,62.25081099,30896,67.12581745,30087,60.69108807
128,2011,2011/8/6,30561,71.61671314,38156,85.62644465,20288,56.25086644,30335,65.90696765,33920,68.42296365
129,2011,2011/8/7,22885,53.62875823,43201,96.94800386,25160,69.75905953,26570,57.72698633,25705,51.85177714
130,2011,2011/8/15,20138,47.19143252,37728,84.66596351,15107,41.88593451,24985,54.28335542,30724,61.97603583
131,2011,2011/8/16,23736,55.62299346,36610,82.15704315,10122,28.06443563,20382,44.28270363,29729,59.96893533
132,2011,2011/8/17,24054,56.36819535,37198,83.47658266,12325,34.17251227,23335,50.69850305,38256,77.169484
133,2011,2011/8/19,26259,61.53539709,39102,87.74937726,20448,56.69448526,22576,49.04947096,48453,97.73873401
134,2011,2011/8/20,29046,68.06645889,36638,82.21987837,12220,33.88138742,29691,64.50778891,40018,80.72376649
135,2011,2011/8/29,19250,45.11049141,35497,79.65934337,13174,36.52646464,40682,88.38725096,28034,56.54980433
136,2011,2011/8/30,21750,50.96899679,36533,81.98424631,28434,78.83660964,41326,89.7864297,26220,52.89062815
137,2011,2011/8/31,22918,53.7060905,37459,84.06229663,14972,41.51163113,43777,95.11156495,36706,74.04284504
138,2011,2011/9/3,24982,58.54287254,41014,92.04012477,19732,54.70929104,28530,61.98535642,46151,93.09517086
139,2011,2011/9/4,21976,51.49860568,42774,95.98976684,19384,53.74442011,23089,50.16403415,46727,94.25707024
140,2011,2011/9/12,22231,52.09617322,42581,95.55665268,14577,40.41644717,26579,57.74654007,30107,60.7314318
141,2011,2011/9/13,24302,56.94935908,39217,88.00745046,12064,33.44885907,28621,62.18306646,38710,78.08528664
142,2011,2011/9/14,20027,46.93131488,41113,92.26229214,13132,36.41001469,30522,66.31325092,44242,89.24436196
143,2011,2011/9/22,20773,48.67949289,40794,91.54641951,12858,35.65031746,25630,55.6847068,43874,88.50203736
144,2011,2011/9/23,22467,52.64921613,39716,89.12726375,13212,36.63182411,16990,36.91311621,40242,81.17561625
145,2011,2011/9/24,26209,61.41822698,39529,88.70761428,14743,40.87670169,15536,33.75410085,43508,87.76374713
146,2011,2011/9/25,21621,50.66669791,39612,88.89387581,10925,30.29084759,18520,40.23725205,31513,63.56759592
147,2011,2011/9/26,20017,46.90788086,27338,61.34961065,31022,86.01214407,19453,42.26432311,48234,97.29697019
148,2011,2011/9/27,22021,51.60405877,27217,61.07807275,19451,53.93018549,14377,31.23601364,47085,94.97922298
149,2011,2011/9/28,24358,57.0805896,27864,62.53001504,18405,51.03002745,14805,32.16590262,47496,95.8082866
150,2012,2012/4/20,30270,70.93478312,32272,72.42207311,13635,37.80464136,17884,38.85545441,49197,99.23952072
151,2012,2012/4/21,25562,59.90204579,38054,85.39754494,19589,54.31280672,22029,47.86103809,43475,87.69717997
152,2012,2012/4/22,23948,56.11979472,38221,85.77231211,14090,39.06618238,18306,39.77230756,48201,97.23040303
153,2012,2012/4/30,17536,41.09390012,27027,60.65169094,16612,46.05872404,20327,44.16320855,47699,96.21777545
154,2012,2012/5/1,17958,42.08281583,30039,67.41096474,12390,34.35273241,17607,38.25363374,46669,94.14007343
155,2012,2012/5/2,19442,45.56042462,27288,61.23740491,14340,39.75933679,22159,48.143481,38702,78.06914915
156,2012,2012/5/4,27201,63.74288192,28359,63.64085187,25258,70.03077606,21479,46.6660873,46370,93.53693468
157,2012,2012/5/5,23633,55.38162304,33160,74.41484706,24049,66.67868134,17057,37.05868295,47182,95.17489006
158,2012,2012/5/6,22288,52.22974715,39018,87.56087161,10574,29.3176588,18600,40.41106307,46789,94.3821358
159,2012,2012/5/7,16531,38.73878096,37548,84.26202285,11184,31.00895555,20173,43.82862233,47430,95.6751523
160,2012,2012/5/9,16072,37.66315937,32851,73.72141559,10784,29.8999085,46026,99.99782736,46637,94.07552346
161,2012,2012/5/16,15453,36.21259344,31762,71.27757456,14815,41.07633016,21071,45.77965107,41384,83.47924315
162,2012,2012/5/17,15173,35.55644084,39027,87.58106865,11513,31.92114675,19650,42.69233276,34531,69.65546456
163,2012,2012/5/18,34715,81.35120568,30786,69.08731851,26721,74.08711565,12461,27.07323962,43580,87.90898455
164,2012,2012/5/19,42673,100,44016,98.77695743,20077,55.66584412,11343,24.64423056,39140,78.95267681
165,2012,2012/5/20,35873,84.06486537,42065,94.39868944,17147,47.54207447,12942,28.1182784,45866,92.52027272
166,2012,2012/5/21,16895,39.59177935,40111,90.0136891,11292,31.30839826,19947,43.33760619,40855,82.41215153
167,2012,2012/5/22,20091,47.08129262,40080,89.94412154,12894,35.7501317,22472,48.82351663,47430,95.6751523
168,2012,2012/5/23,18732,43.8966091,44227,99.25046565,23617,65.48091053,19975,43.39844005,42516,85.76269819
169,2012,2012/6/1,21464,50.29878377,42465,95.29633536,33559,93.04627499,22492,48.86696939,45407,91.59438415
170,2012,2012/6/2,22991,53.87715886,36079,80.96541819,27112,75.17120914,28437,61.78330111,36920,74.47452294
171,2012,2012/6/3,19914,46.66651044,37342,83.79973519,25078,69.53170488,23913,51.9542877,39561,79.80191229
172,2012,2012/6/5,18911,44.31607808,37096,83.24768295,10120,28.0588904,14462,31.42068786,43379,87.50353008
173,2012,2012/6/6,18517,43.39277763,42483,95.33672943,11861,32.88601769,13455,29.23284159,33927,68.43708396
174,2012,2012/6/7,22265,52.1758489,42222,94.75101546,15044,41.7112596,15655,34.01264475,46013,92.81679913
175,2012,2012/6/18,15436,36.17275561,41234,92.53383003,14779,40.97651593,18672,40.56749299,45741,92.26812442
176,2012,2012/6/19,18098,42.41089213,38010,85.29880389,24528,68.00676519,15604,33.90184022,47240,95.29188688
177,2012,2012/6/20,30687,71.91198182,40321,90.48495321,21631,59.97449192,23097,50.18141526,43268,87.27962238
178,2012,2012/6/22,26932,63.11250674,44548,99.97082651,20244,56.12887127,18048,39.21176701,44132,89.02247146
179,2012,2012/6/23,34241,80.24043306,44512,99.89003837,25383,70.37735326,23517,51.09392313,41237,83.18271675
180,2012,2012/6/24,21191,49.65903499,43975,98.68494872,23337,64.70457759,29483,64.05588024,44104,88.96599024
181,2012,2012/6/25,14483,33.93949336,38104,85.50975068,35067,97.22738237,24467,53.15792904,47638,96.09472707
182,2012,2012/6/27,15012,35.17915309,41147,92.33859204,36067,100,22028,47.85886545,47580,95.97773026
183,2012,2012/6/28,19415,45.49715277,43936,98.59742824,17434,48.33781573,30287,65.80268104,46744,94.29136241
184,2012,2012/7/6,23430,54.9059124,39086,87.71347142,35067,97.22738237,34807,75.62300389,36111,72.84261911
185,2012,2012/7/7,23027,53.96152134,42160,94.61188034,28240,78.29872182,13084,28.42679297,34918,70.43611571
186,2012,2012/7/8,16966,39.7581609,35047,78.64949171,10819,29.99695012,13931,30.26701719,42832,86.4001291
187,2012,2012/7/23,15538,36.41178263,35051,78.65846817,16136,44.73895805,29818,64.78371391,40281,81.25428652
188,2012,2012/7/24,15908,37.27884142,39107,87.76059783,20075,55.66029889,30589,66.45881765,47255,95.32214467
189,2012,2012/7/25,16077,37.67487639,40136,90.06979197,15115,41.90811545,40603,88.21561258,48303,97.43615605
190,2012,2012/7/26,19926,46.69463127,41232,92.5293418,20249,56.14273436,17101,37.15427901,45752,92.29031347
191,2012,2012/7/27,24685,57.8468821,35477,79.61446108,23382,64.82934538,12411,26.96460773,36257,73.13712833
192,2012,2012/7/29,20453,47.9296042,39016,87.55638338,24148,66.95317049,18158,39.45075716,32146,64.84447493
193,2012,2012/8/6,13843,32.43971598,38722,86.89661363,28142,78.0270053,20692,44.95622135,40714,82.12772824
194,2012,2012/8/7,14273,33.4473789,36505,81.9214111,30470,84.48165913,23094,50.17489734,33762,68.10424819
195,2012,2012/8/8,16038,37.5834837,36620,82.1794843,12564,34.83516788,31311,68.02746214,45823,92.43353371
196,2012,2012/8/9,14417,33.78482881,39827,89.37636049,15836,43.90717276,34065,74.01090664,44215,89.18989793
197,2012,2012/8/10,21025,49.27003023,38591,86.60263459,18161,50.35350875,16270,35.348817,37785,76.2193892
198,2012,2012/8/11,17942,42.0453214,37298,83.70099414,10823,30.00804059,23721,51.53714124,29453,59.41219187
199,2012,2012/8/12,19235,45.07534038,41086,92.20170104,17121,47.46998641,29951,65.07267473,30700,61.92762335
200,2012,2012/8/17,19223,45.04721955,36789,82.55873971,18308,50.76108354,27378,59.48247768,36176,72.97373623
201,2012,2012/8/18,20838,48.83181403,38745,86.94822827,13341,36.98949178,29911,64.98576922,34765,70.12748618
202,2012,2012/8/19,14923,34.9705903,37841,84.91954848,15458,42.8591233,31908,69.32452691,36001,72.62072861
203,2012,2012/8/28,13516,31.67342348,39013,87.54965104,21150,58.64086284,36071,78.36921807,36102,72.82446444
204,2012,2012/8/29,13207,30.94931221,40104,89.9979803,13967,38.72515041,15014,32.61998392,45075,90.92467826
205,2012,2012/8/30,12835,30.07756661,41154,92.35430085,30132,83.54451438,14953,32.48745302,47267,95.34635091
206,2012,2012/8/31,15287,35.82358869,38216,85.76109154,20130,55.81279286,32111,69.76557238,45928,92.64533828
207,2012,2012/9/1,18316,42.9217538,36064,80.93175647,10274,28.48587351,19402,42.15351859,43044,86.82777262
208,2012,2012/9/2,17291,40.5197666,37794,84.81407509,16657,46.18349183,22443,48.76051014,43874,88.50203736
209,2012,2012/9/10,13121,30.74777963,38097,85.49404188,20121,55.7878393,21434,46.5683186,46689,94.18041715
210,2012,2012/9/11,14205,33.28802756,38029,85.34144207,20315,56.32572712,22537,48.96473809,43796,88.34469682
211,2012,2012/9/12,13101,30.70091158,36948,82.91555396,25314,70.18604264,16205,35.20759554,46662,94.12595312
212,2012,2012/9/13,13028,30.52984323,37093,83.24095061,20180,55.95142374,17065,37.07606405,46713,94.22882963
213,2012,2012/9/14,17535,41.09155672,38205,85.73640627,11688,32.40635484,21889,47.55686879,48089,97.00447815
214,2012,2012/9/15,20419,47.84992853,39326,88.25205898,15404,42.70940195,22602,49.10595955,42034,84.79041433
215,2012,2012/9/16,17438,40.86424671,41440,92.99611768,35067,97.22738237,21154,45.95998001,27355,55.18013475
216,2012,2012/9/21,17093,40.05577297,36546,82.01341981,20342,56.40058779,22635,49.17765659,26643,53.74389801
217,2012,2012/9/22,17185,40.27136597,38538,86.48369651,20539,56.94679347,14687,31.90953136,36273,73.16940332
218,2012,2012/9/23,15207,35.63611651,37916,85.08785709,16376,45.40438628,39204,85.17609229,43025,86.78944608
219,2012,2012/9/24,12584,29.48937267,37377,83.87827921,21517,59.65841351,18578,40.36326504,44599,89.96449752
220,2012,2012/9/25,16943,39.70426265,44014,98.7724692,21057,58.3830094,17739,38.54042193,40646,81.99055957
221,2012,2012/9/26,18712,43.84974105,36011,80.81281838,21162,58.67413425,22910,49.77513199,34677,69.94997378
222,2013,2013/4/7,16914,39.63630399,43533,97.69304998,30660,85.00845648,20584,44.72157647,42441,85.61140921
223,2013,2013/4/19,17241,40.40259649,37674,84.54478131,36067,100,21641,47.01805462,47173,95.15673539
224,2013,2013/4/21,22005,51.56656434,36126,81.07089159,21377,59.27024704,12754,27.7098225,46228,93.25049421
225,2013,2013/4/22,23201,54.36927331,39023,87.57209219,35067,97.22738237,13037,28.32467899,39778,80.23964175
226,2013,2013/4/23,13929,32.64124856,35081,78.72579161,20755,57.54567888,17128,37.21294023,42778,86.29120103
